"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C1","C0805","4146.654mil","4794.291mil","4146.654mil","4794.291mil","4109.252mil","4794.291mil","T","360.00","2.2n"
"D7","SOD-80","1232.284mil","3462.598mil","1232.284mil","3462.598mil","1305.118mil","3462.598mil","B","180.00","LL4148"
"R140","R0805","2944.882mil","1751.968mil","2944.882mil","1751.968mil","2907.48mil","1751.968mil","T","360.00","10k"
"R139","R0805","2986.951mil","1878.893mil","2986.95mil","1878.893mil","2949.549mil","1878.893mil","T","360.00","10k"
"C46","TANT-D","1818.898mil","3419.291mil","1818.898mil","3419.291mil","1692.913mil","3419.291mil","B","360.00","220uF x 16"
"U7","TD03B_N","1440.945mil","2690.945mil","1440.945mil","2641.732mil","1351.181mil","2812.992mil","B","270.00","LP2950CDT-5.0"
"C37","C0805","1921.26mil","3035.433mil","1921.26mil","3035.433mil","1921.26mil","3072.835mil","T","270.00","100n"
"P24","HDR1X1-BIG2","2885.827mil","4824.804mil","2885.827mil","4824.804mil","2885.827mil","4824.804mil","T","0.00","-"
"R19","R0805","1137.795mil","1594.488mil","1137.795mil","1594.488mil","1137.795mil","1631.89mil","B","270.00","10k"
"J1","CONN-MICROSD-PUSH-PUSH","1456.693mil","1808.071mil","1448.819mil","1818.898mil","1574.803mil","1510.827mil","B","360.00","DM3AT-SF-PEJM5"
"P47","HDR1X1-BIG2","2354.331mil","1251.968mil","2354.331mil","1251.968mil","2354.331mil","1251.968mil","T","0.00","19"
"P29","HDR1X1-BIG2","4303.15mil","1098.425mil","4303.15mil","1098.425mil","4303.15mil","1098.425mil","T","0.00","5"
"R164","R0805","2288.386mil","3849.409mil","2288.386mil","3849.409mil","2288.386mil","3886.811mil","T","270.00","47"
"C76","C0805","2287.391mil","3883.861mil","2287.391mil","3883.861mil","2287.391mil","3921.263mil","B","270.00","10n"
"C75","C0805","2216.535mil","3883.858mil","2216.535mil","3883.859mil","2216.535mil","3921.26mil","B","270.00","1u"
"U10","HTSSOP28","2539.37mil","2818.898mil","2539.37mil","2818.898mil","2651.575mil","2652.559mil","T","180.00","DRV8825"
"P5","BT_MODULE_HC-06-4","1578.346mil","3669.291mil","1728.346mil","3669.291mil","1728.346mil","3669.291mil","T","360.00","BT_Module"
"C2","C0805","3708.661mil","4822.835mil","3708.661mil","4822.834mil","3708.661mil","4785.433mil","T","90.00","33n"
"C3","C0805","4389.764mil","4330.708mil","4389.764mil","4330.709mil","4389.764mil","4368.11mil","T","270.00","10n"
"C4","C0805","3507.874mil","4769.685mil","3507.874mil","4769.685mil","3507.874mil","4732.283mil","T","90.00","220p"
"C5","C0805","1267.717mil","1401.575mil","1267.716mil","1401.575mil","1230.315mil","1401.575mil","B","0.00","1u"
"C6","C0805","3596.457mil","4769.684mil","3596.457mil","4769.685mil","3596.457mil","4807.086mil","T","270.00","100n"
"C7","C0805","4401.575mil","4618.11mil","4401.575mil","4618.11mil","4364.173mil","4618.11mil","T","360.00","100n"
"C8","C0805","1267.717mil","1318.898mil","1267.716mil","1318.898mil","1230.315mil","1318.898mil","B","360.00","10n"
